timestamp, temperature_gpu, power_draw_w, power_limit_w, utilization_gpu, utilization_memory, memory_used_mib, memory_free_mib, clocks_throttle_reasons_active, clocks_current_sm_mhz, clocks_applications_graphics_mhz, clocks_current_memory_mhz, clocks_max_memory_mhz, pstate
1557442814498296807, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814500211220, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814502434273, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814508932806, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814510830389, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814512731517, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814514646165, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814516560811, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814518569076, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814520488551, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814528999068, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814530928188, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814532847500, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814534925244, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814536843146, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814538762627, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814540682898, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814548785256, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814550709264, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814552625480, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814554541797, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814556458726, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
